Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
Spain,Mas La Plana Cabernet Sauvignon 2015,595,65.17,4.3,Penedès,red,Torres,2015,60f33d7f00b871aef201f2cc
Italy,90 Novantaceppi Appassimento Rosso 2016,595,5.21,3.8,Puglia,red,Latentia Winery,2016,60f33d7f00b871aef201f2cd
France,Bastide Miraflors Vieilles Vignes Syrah - Grenache 2017,595,8.72,3.8,Côtes Catalanes,red,Domaine Lafage,2017,60f33d7f00b871aef201f2ce
Argentina,Gran VU Blend 2015,596,59,4.4,Uco Valley,red,Salentein,2015,60f33d7f00b871aef201f2cf
Chile,Reserva Cabernet Sauvignon 2017,597,10.95,3.8,Casablanca Valley,red,Casas del Bosque,2017,60f33d7f00b871aef201f2d0
United States,Cabernet Sauvignon 2016,5972,15.61,3.8,Columbia Valley,red,Chateau Ste. Michelle,2016,60f33d7f00b871aef201f2d1
Chile,Carmenere (Reserva) 2018,5974,7.89,3.7,Rapel Valley,red,Casillero del Diablo,2018,60f33d7f00b871aef201f2d2
Italy,Palazzo della Torre 2014,5975,16.9,4,Verona,red,Allegrini,2014,60f33d7f00b871aef201f2d3
Italy,Sabazio 2015,598,13.09,3.7,Rosso di Montepulciano,red,La Braccesca,2015,60f33d7f00b871aef201f2d4
Italy,Castel Del Monte Riserva Vigna Pedale 2015,598,8.9,3.7,Castel del Monte,red,Torrevento,2015,60f33d7f00b871aef201f2d5
Italy,Brunello di Montalcino 2012,598,32.88,4.3,Brunello di Montalcino,red,La Gerla,2012,60f33d7f00b871aef201f2d6
Spain,Crianza 2016,598,13.55,4,Ribera del Duero,red,Bodegas Imperiales - Abadía de San Quirce,2016,60f33d7f00b871aef201f2d7
Italy,Sassicaia 2011,5997,249,4.6,Bolgheri Sassicaia,red,Tenuta San Guido,2011,60f33d7f00b871aef201f2d8
Austria,Zweigelt Neusiedlersee 2018,60,7.95,3.7,Neusiedlersee,red,Keringer,2018,60f33d7f00b871aef201f2d9
Argentina,Pasionado Cabernet Franc 2012,60,43.77,4.1,Tupungato,red,Andeluna,2012,60f33d7f00b871aef201f2da
Austria,Blaufränkisch Creitzer - Reserve 2017,60,19.9,3.6,Mittelburgenland,red,Gesellmann,2017,60f33d7f00b871aef201f2db
France,Bordeaux Supérieur 2015,60,9.6,3.5,Bordeaux Supérieur,red,Château Fortuneau,2015,60f33d7f00b871aef201f2dc
Italy,FEF Collection Corvina Veronese 2018,60,9.2,3.9,Verona,red,Zeni,2018,60f33d7f00b871aef201f2dd
Germany,RS Spätburgunder 2013,60,19.95,3.9,Baden,red,Salwey,2013,60f33d7f00b871aef201f2de
France,Gigondas Valbelle 2006,60,49.95,4.2,Gigondas,red,Château de Saint Cosme,2006,60f33d7f00b871aef201f2df
France,Saint-Émilion Grand Cru 2010,60,229.95,4.6,Saint-Émilion Grand Cru,red,Gracia,2010,60f33d7f00b871aef201f2e0
South Africa,Pinotage 2017,60,7.95,3.8,Swartland,red,Swartland Winery,2017,60f33d7f00b871aef201f2e1
