Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
France,Médoc 2014,304,22.22,3.6,Médoc,red,Château Les Grands Chênes,2014,60f33d7f00b871aef201e7ba
Spain,Señorío de Ondarre Rioja Reserva 2014,304,8.49,3.8,Rioja,red,Ondarre,2014,60f33d7f00b871aef201e7bb
South Africa,Signature Merlot 2018,305,6.95,3.5,Western Cape,red,Spier,2018,60f33d7f00b871aef201e7bc
Spain,Vendimia Seleccionada 2017,305,7.99,3.9,Navarra,red,Pago de Cirsus,2017,60f33d7f00b871aef201e7bd
Italy,Aglianico 2018,305,6.5,3.7,Puglia,red,Epicuro,2018,60f33d7f00b871aef201e7be
United States,Cold Creek Vineyard Cabernet Sauvignon 2015,305,32.52,4.1,Columbia Valley,red,Chateau Ste. Michelle,2015,60f33d7f00b871aef201e7bf
France,Classique Luberon 2017,305,6.75,3.5,Luberon,red,Marrenon,2017,60f33d7f00b871aef201e7c0
Brazil,Reserva Teroldego 2014,305,14.57,3.7,Serra Gaúcha,red,Don Guerino,2014,60f33d7f00b871aef201e7c1
Italy,Rubesco Vigna Monticchio Torgiano Rosso Riserva 2012,305,32.9,4.1,Torgiano Rosso Riserva,red,Lungarotti,2012,60f33d7f00b871aef201e7c2
France,Les Cédres Châteauneuf-du-Pape 2015,305,33.59,4.1,Châteauneuf-du-Pape,red,Paul Jaboulet Aîné,2015,60f33d7f00b871aef201e7c3
France,Pastourelle de Clerc Milon Pauillac 2010,305,70.72,4.2,Pauillac,red,Château Clerc Milon,2010,60f33d7f00b871aef201e7c4
United States,Old Vine Zinfandel 2017,305,13.45,3.7,Lodi,red,Ravenswood,2017,60f33d7f00b871aef201e7c5
Italy,Buio Buio 2015,305,29.9,4,Carignano del Sulcis,red,Mesa,2015,60f33d7f00b871aef201e7c6
South Africa,Merlot (Jan Fiskaal) 2017,3050,5.74,3.4,Coastal Region,red,MAN,2017,60f33d7f00b871aef201e7c7
Italy,Etna Calderara Sottana Rosso 2016,306,47.87,4.1,Etna,red,Tenuta delle Terre Nere,2016,60f33d7f00b871aef201e7c8
United States,Pinot Noir Carneros 2017,306,38.94,3.9,Los Carneros,red,Schug,2017,60f33d7f00b871aef201e7c9
United States,Othello 2013,306,42.89,3.8,Napa Valley,red,Dominus,2013,60f33d7f00b871aef201e7ca
France,Pomerol 2014,306,49.88,4.2,Pomerol,red,Château La Grave (Trigant de Boisset),2014,60f33d7f00b871aef201e7cb
Spain,El Pajaro Rojo Mencia 2018,306,9.08,4,Bierzo,red,Losada,2018,60f33d7f00b871aef201e7cc
Italy,"Barbera d'Asti Lavignone 2018",306,9.95,3.8,"Barbera d'Asti",red,Pico Maccario,2018,60f33d7f00b871aef201e7cd
Italy,"Campo Reale Nero d'Avola 2018",306,7.31,3.6,Terre Siciliane,red,Tenuta Rapitalà,2018,60f33d7f00b871aef201e7ce
France,La Dame de Montrose Saint-Estèphe 2015,306,46.3,4,Saint-Estèphe,red,Château Montrose,2015,60f33d7f00b871aef201e7cf
Spain,Single Vineyard Tempranillo 2014,3067,25.5,3.9,La Mancha,red,Volver,2014,60f33d7f00b871aef201e7d0
France,Médoc 2014,307,27.25,3.7,Médoc,red,Château Potensac,2014,60f33d7f00b871aef201e7d1
United States,"Director's Cut Cabernet Sauvignon 2017",307,36.83,3.9,Alexander Valley,red,Francis Ford Coppola,2017,60f33d7f00b871aef201e7d2
France,Haut-Médoc 2012,307,16.9,3.7,Haut-Médoc,red,Château Fontesteau,2012,60f33d7f00b871aef201e7d3
Spain,El Viaje de Ramón Tempranillo Rioja 2014,307,10.49,3.6,Rioja,red,Ramón Bilbao,2014,60f33d7f00b871aef201e7d4
Italy,Chianti Classico Riserva 2011,307,21.95,3.7,Chianti Classico,red,Castello di Uzzano,2011,60f33d7f00b871aef201e7d5
Italy,Valpolicella Ripasso Classico Superiore Solane 2016,307,10.95,3.7,Valpolicella Ripasso,red,Santi,2016,60f33d7f00b871aef201e7d6
Italy,Barolo Bussia 2013,308,63.05,4.1,Barolo,red,Aldo Conterno,2013,60f33d7f00b871aef201e7d7
France,Cabernet Sauvignon 2018,308,5.36,3.5,"Pays d'Oc",red,Les Jamelles,2018,60f33d7f00b871aef201e7d8
Spain,Añada 2018,308,11.19,3.7,Binissalem-Mallorca,red,Macià Batle,2018,60f33d7f00b871aef201e7d9
France,Saint-Julien (Grand Cru Classé) 2001,308,89.95,4.2,Saint-Julien,red,Château Langoa Barton,2001,60f33d7f00b871aef201e7da
France,Pauillac (Grand Cru Classé) 2015,308,60.75,4,Pauillac,red,Château Grand-Puy Ducasse,2015,60f33d7f00b871aef201e7db
Italy,Bansella Nizza 2017,309,16.74,4,Monferrato,red,Prunotto,2017,60f33d7f00b871aef201e7dc
Italy,Prugneto Sangiovese di Romagna (Superiore) 2013,309,17.75,3.7,Sangiovese di Romagna,red,Poderi dal Nespoli,2013,60f33d7f00b871aef201e7dd
United States,Red Blend (BLEND) 2015,309,11.9,3.7,California,red,Avalon,2015,60f33d7f00b871aef201e7de
Italy,Duca Sanfelice Cirò Classico Superiore Riserva Rosso 2015,309,10.9,3.6,Cirò,red,Librandi,2015,60f33d7f00b871aef201e7df
France,Baron de Brane Margaux 2011,309,32.12,3.9,Margaux,red,Château Brane-Cantenac,2011,60f33d7f00b871aef201e7e0
Argentina,Malbec 2014,3098,17.5,3.9,Mendoza,red,Achaval-Ferrer,2014,60f33d7f00b871aef201e7e1
France,Saint-Émilion Grand Cru 2013,31,37.04,4.3,Saint-Émilion Grand Cru,red,La Dame de Onze Heures,2013,60f33d7f00b871aef201e7e2
Italy,Chianti Classico Gran Selezione 2010,31,193.03,4.4,Chianti Classico,red,Isole e Olena,2010,60f33d7f00b871aef201e7e3
Germany,Prago Pinot Noir 2015,31,33.14,4.1,Pfalz,red,Weingut Metzger,2015,60f33d7f00b871aef201e7e4
Germany,Julius Rot Trocken 2018,31,9.95,3.7,Franken,red,Juliusspital,2018,60f33d7f00b871aef201e7e5
France,Bourgogne Pinot Noir 2016,31,16.5,3.4,Bourgogne,red,Pascal Bouchard,2016,60f33d7f00b871aef201e7e6
Spain,GST Excellence 2016,31,8.55,3.8,Castilla,red,Gran Sello,2016,60f33d7f00b871aef201e7e7
Chile,Cabernet Franc 2013,31,27.96,3.8,Maule Valley,red,Erasmo,2013,60f33d7f00b871aef201e7e8
Italy,Burdese 2015,31,16.47,4.2,Menfi,red,Planeta,2015,60f33d7f00b871aef201e7e9
France,"Vieille Vigne Chambolle-Musigny Premier Cru 'Charmes' 2014",31,77.01,4.1,"Chambolle-Musigny 1er Cru 'Les Charmes'",red,Frédéric Magnien,2014,60f33d7f00b871aef201e7ea
France,Tradition Côtes du Roussillon Villages 2016,31,9.26,3.7,Côtes du Roussillon Villages,red,Domaine Boudau,2016,60f33d7f00b871aef201e7eb
France,Brouilly 2014,31,11.69,3.3,Brouilly,red,Bel Avenir,2014,60f33d7f00b871aef201e7ec
France,Crozes-Hermitage Rouge 2017,31,17.9,3.8,Crozes-Hermitage,red,Nicolas Perrin,2017,60f33d7f00b871aef201e7ed
France,Merlot - Syrah 2018,31,5.95,3.5,Côtes de Gascogne,red,Domaine du Mage,2018,60f33d7f00b871aef201e7ee
Italy,Le Cerrine Chianti Riserva 2015,31,13.6,3.7,Chianti,red,Carlo Gentili,2015,60f33d7f00b871aef201e7ef
France,"Sablet (L'Olivet) 2018",31,9.65,4,"Côtes-du-Rhône-Villages 'Sablet'",red,Notre Dame des Pallières,2018,60f33d7f00b871aef201e7f0
Italy,Antajr Rosso 2014,31,20.99,4.1,Toscana,red,Il Palagione,2014,60f33d7f00b871aef201e7f1
France,Nuits-Saint-Georges 2016,31,69.26,3.8,Nuits-Saint-Georges,red,Domaine Arnoux-Lachaux,2016,60f33d7f00b871aef201e7f2
France,Le Pinacle Syrah 2014,31,15.54,4.1,Côtes de Thongue,red,Sainte Rose,2014,60f33d7f00b871aef201e7f3
France,Les Amandiers 2016,31,77.01,4.1,Minervois La Livinière,red,Château Maris,2016,60f33d7f00b871aef201e7f4
New Zealand,Premium Merlot 2014,31,12.95,3.7,"Hawke's Bay",red,Saint Clair,2014,60f33d7f00b871aef201e7f5
South Africa,Pinotage 2019,31,5.62,3.7,Western Cape,red,Obikwa,2019,60f33d7f00b871aef201e7f6
Spain,"N'Amarat Negre 2012",31,49.6,4.2,Plà i Llevant,red,Es Fangar,2012,60f33d7f00b871aef201e7f7
France,"Gevrey Chambertin 'En Créot' 2015",31,52.3,4.2,Gevrey-Chambertin,red,Marchand Grillot,2015,60f33d7f00b871aef201e7f8
France,Beaujolais-Villages 2018,31,10.68,3.5,Beaujolais-Villages,red,Antonin Rodet,2018,60f33d7f00b871aef201e7f9
France,Chateau Tour de Marchesseau Lalande-de-Pomerol 2014,31,13.91,3.8,Lalande-de-Pomerol,red,Jean-Louis Trocard,2014,60f33d7f00b871aef201e7fa
Italy,Vallocchio Brunello di Montalcino 2015,31,43.87,4.3,Brunello di Montalcino,red,Fanti,2015,60f33d7f00b871aef201e7fb
Spain,Tinto 2016,31,8.95,4,Dominio de Valdepusa,red,Lesegut,2016,60f33d7f00b871aef201e7fc
Argentina,"Puro Corte D'Oro 2017",31,24.49,4,Mendoza,red,Dieter Meier,2017,60f33d7f00b871aef201e7fd
Italy,Geremia Toscana 2003,31,25,4,Toscana,red,Rocca di Montegrossi,2003,60f33d7f00b871aef201e7fe
Spain,Iconic 2016,31,258.32,4.3,Rioja,red,"Rolland & Galarreta 'R&G'",2016,60f33d7f00b871aef201e7ff
Italy,Unoperuno Barolo 2013,31,251.23,4.5,Barolo,red,Elio Altare,2013,60f33d7f00b871aef201e800
South Africa,Unfiltered Cabernet Sauvignon 2015,31,21.55,3.8,Stellenbosch,red,Fleur du Cap,2015,60f33d7f00b871aef201e801
Brazil,Family Vineyards Tannat 2015,31,11.19,3.5,Rio Grande do Sul,red,Miolo,2015,60f33d7f00b871aef201e802
South Africa,Cabernet Sauvignon 2019,31,5.62,3.4,Stellenbosch,red,Obikwa,2019,60f33d7f00b871aef201e803
Australia,Shiraz 2016,31,18.99,3.6,McLaren Vale,red,Chalk Hill,2016,60f33d7f00b871aef201e804
Italy,Langhe Dimartina Rosso 2014,31,9.9,3.5,Langhe,red,Mauro Molino,2014,60f33d7f00b871aef201e805
Austria,Blaufränkisch 2017,31,12.87,3.4,Burgenland,red,Weinbau Uwe Schiefer,2017,60f33d7f00b871aef201e806
Italy,Don Camillo Sangiovese 2018,31,8.89,3.7,Terre di Chieti,red,Farnese,2018,60f33d7f00b871aef201e807
France,Crozes-Ermitage Les Varonniers 2003,31,54.95,4.2,Crozes-Hermitage,red,M. Chapoutier,2003,60f33d7f00b871aef201e808
Spain,Celia 2014,31,73.59,4.2,Ribera del Duero,red,Vizcarra,2014,60f33d7f00b871aef201e809
France,Pinot Noir Alsace 2018,31,9.74,3,Alsace,red,Wolfberger,2018,60f33d7f00b871aef201e80a
Spain,Selección 2018,31,8.45,3.7,Rioja,red,Sierra Cantabria,2018,60f33d7f00b871aef201e80b
Spain,Reserva 2014,31,7.89,3.4,Cariñena,red,Marqués de Ballestar,2014,60f33d7f00b871aef201e80c
South Africa,Cabernet Sauvignon 2017,31,13.09,3.6,Stellenbosch,red,Middelvlei,2017,60f33d7f00b871aef201e80d
Germany,Katzenbeisser Samtrot 2018,31,5.38,3.4,Württemberg,red,Lauffener,2018,60f33d7f00b871aef201e80e
Italy,Vie Cave Maremma Toscana 2017,31,24.1,4.1,Maremma Toscana,red,Fattoria Aldobrandesca,2017,60f33d7f00b871aef201e80f
Spain,Izarbe Gran Reserva 2006,31,28.9,4.3,Rioja,red,Larchago,2006,60f33d7f00b871aef201e810
Argentina,Terroir Series Malbec 2018,31,8.54,4,Mendoza,red,Kaiken,2018,60f33d7f00b871aef201e811
Italy,Gran Lombardo Amarone della Valpolicella Classico 2015,31,68.14,4.4,Amarone della Valpolicella Classico,red,Bonfanti,2015,60f33d7f00b871aef201e812
France,Les Terroirs Faugères 2014,31,7.75,3.5,Faugères,red,Calmel & Joseph,2014,60f33d7f00b871aef201e813
Italy,Campo del Drago Brunello di Montalcino 2015,31,96.5,4.4,Toscana,red,Castiglion del Bosco,2015,60f33d7f00b871aef201e814
Spain,Musso Tempranillo 2018,31,6.54,3.3,Castilla,red,Casa Rojo,2018,60f33d7f00b871aef201e815
New Zealand,Pinot Noir 2017,31,13.02,3.7,Wairarapa,red,Johner Estate,2017,60f33d7f00b871aef201e816
Spain,Reserva 2012,31,6.9,3.1,La Mancha,red,Marques dé La Carrasca,2012,60f33d7f00b871aef201e817
Spain,Twenty Twelve Black 2016,31,15.3,3.2,Plà i Llevant,red,Es Fangar,2016,60f33d7f00b871aef201e818
Italy,Brunello di Montalcino 2014,31,73.01,4.4,Brunello di Montalcino,red,Giodo,2014,60f33d7f00b871aef201e819
Italy,Tutti Per Uno Monferrato Rosso 2013,31,14.2,3.8,Monferrato,red,Vinchio - Vaglio Serra,2013,60f33d7f00b871aef201e81a
Spain,Tempranillo - Merlot 2016,310,15.5,3.8,Ribera del Duero,red,"Rolland & Galarreta 'R&G'",2016,60f33d7f00b871aef201e81b
France,Bordeaux 2016,310,6.73,3.5,Bordeaux,red,Château La Croix du Duc,2016,60f33d7f00b871aef201e81c
France,Pessac-Léognan 2005,310,57.95,4.1,Pessac-Léognan,red,Château Larrivet Haut-Brion,2005,60f33d7f00b871aef201e81d
Italy,"Nero d'Avola Terre Siciliane 2018",310,5.49,3.4,Terre Siciliane,red,Caleo,2018,60f33d7f00b871aef201e81e
Italy,Campofiorin Rosso Veronese 2016,3107,12.99,3.7,Rosso Veronese,red,Masi,2016,60f33d7f00b871aef201e81f
France,Margaux (Grand Cru Classé) 2015,311,43.82,4.1,Margaux,red,Château Desmirail,2015,60f33d7f00b871aef201e820
South Africa,Shiraz 2016,311,13.95,3.7,Stellenbosch,red,Tokara,2016,60f33d7f00b871aef201e821
France,Margaux (Grand Cru Classé) 2016,311,96.51,4.2,Margaux,red,Château Brane-Cantenac,2016,60f33d7f00b871aef201e822
Italy,Ronchedone Rosso 2017,311,15.5,4.1,Lombardia,red,Cà dei Frati,2017,60f33d7f00b871aef201e823
Spain,Varietales Garnacha Rioja 2015,311,14.7,3.5,Rioja,red,Baron de Ley,2015,60f33d7f00b871aef201e824
Italy,Brunello di Montalcino 2012,311,48.45,4.3,Brunello di Montalcino,red,Le Chiuse,2012,60f33d7f00b871aef201e825
South Africa,Cabernet Sauvignon 2019,311,5.95,3.5,Robertson,red,Arabella,2019,60f33d7f00b871aef201e826
Italy,Valpolicella Ripasso Superiore 2016,3111,11.95,3.8,Valpolicella Ripasso,red,Zonin,2016,60f33d7f00b871aef201e827
Italy,Le Serre Nuove 2016,3114,48.69,4.3,Bolgheri,red,Ornellaia,2016,60f33d7f00b871aef201e828
France,Saint-Émilion Grand Cru 2016,312,19.95,3.8,Saint-Émilion Grand Cru,red,Château Tour du Cauze,2016,60f33d7f00b871aef201e829
Spain,La Clave 2017,312,10.35,3.8,Bierzo,red,Raúl Pérez,2017,60f33d7f00b871aef201e82a
France,Crozes-Hermitage Les Jalets 2017,312,23.15,3.9,Crozes-Hermitage,red,Paul Jaboulet Aîné,2017,60f33d7f00b871aef201e82b
Italy,Chianti Gineprone 2016,312,9.75,3.6,Chianti,red,"Col d'Orcia",2016,60f33d7f00b871aef201e82c
France,Gigondas 2016,312,28.72,3.9,Gigondas,red,M. Chapoutier,2016,60f33d7f00b871aef201e82d
United States,Nielson Vineyard Pinot Noir 2014,312,32.95,3.8,Santa Maria Valley,red,Byron,2014,60f33d7f00b871aef201e82e
Spain,Cuvée Especial Red Blend 2014,312,13.79,3.9,Navarra,red,Pago de Cirsus,2014,60f33d7f00b871aef201e82f
United States,Pinot Noir 2018,312,12.5,3.4,California,red,Gnarly Head,2018,60f33d7f00b871aef201e830
Italy,Brunello di Montalcino 2015,312,38.54,4.3,Brunello di Montalcino,red,Altesino,2015,60f33d7f00b871aef201e831
Spain,Prima 2017,312,10.39,3.8,Toro,red,Bodegas San Román,2017,60f33d7f00b871aef201e832
Italy,Terre di San Leonardo 2016,312,12.49,3.8,Vigneti delle Dolomiti,red,San Leonardo,2016,60f33d7f00b871aef201e833
Argentina,Malbec 2015,312,14.13,3.8,Mendoza,red,Catena Viñas,2015,60f33d7f00b871aef201e834
Italy,"Lamùri Nero d'Avola Regaleali 2014",3120,9.89,3.8,Terre Siciliane,red,"Tasca d'Almerita",2014,60f33d7f00b871aef201e835
Italy,"Fantini Casale Vecchio Montepulciano d'Abruzzo 2016",3122,7.9,3.7,"Montepulciano d'Abruzzo",red,Farnese,2016,60f33d7f00b871aef201e836
Italy,Riserva Ducale Chianti Classico 2013,3122,19.87,3.8,Chianti Classico,red,Ruffino,2013,60f33d7f00b871aef201e837
France,Chimères 2017,313,11.5,3.8,Côtes du Roussillon Villages,red,Château Saint-Roch,2017,60f33d7f00b871aef201e838
France,Pomerol 2005,313,89.95,4.1,Pomerol,red,Château Nénin,2005,60f33d7f00b871aef201e839
Portugal,Olho de Mocho Reserve Tinto 2013,313,13.65,3.9,Alentejano,red,Herdade do Rocim,2013,60f33d7f00b871aef201e83a
Italy,Da Vinci Chianti Riserva 2015,313,11.25,3.7,Chianti,red,Cantine Leonardo da Vinci,2015,60f33d7f00b871aef201e83b
South Africa,G.V.B Red 2012,313,100,4,Stellenbosch,red,Vergelegen,2012,60f33d7f00b871aef201e83c
Italy,Nèprica Negroamaro 2018,313,8.33,3.5,Puglia,red,Tormaresca,2018,60f33d7f00b871aef201e83d
Italy,"Barbera d'Asti 2016",314,9.79,3.7,"Barbera d'Asti",red,Batasiolo,2016,60f33d7f00b871aef201e83e
France,Aussières Rouge (Red Blend) 2016,314,9.12,3.3,"Pays d'Oc",red,Château d’Aussières,2016,60f33d7f00b871aef201e83f
Chile,Gran Reserva Cabernet Sauvignon 2016,314,13.5,3.7,Colchagua Valley,red,TerraNoble,2016,60f33d7f00b871aef201e840
France,Hermitage 2015,314,49,4.2,Hermitage,red,E. Guigal,2015,60f33d7f00b871aef201e841
Italy,Vino Nobile di Montepulciano 2016,314,15.9,3.7,Vino Nobile di Montepulciano,red,Trerose,2016,60f33d7f00b871aef201e842
France,Châteauneuf-du-Pape 2014,315,46.84,4,Châteauneuf-du-Pape,red,Piedlong,2014,60f33d7f00b871aef201e843
France,Saint-Émilion Grand Cru 2005,315,31.95,3.7,Saint-Émilion Grand Cru,red,Château de Fonbel,2005,60f33d7f00b871aef201e844
France,Margaux 2016,315,41.9,3.9,Margaux,red,Château Labégorce,2016,60f33d7f00b871aef201e845
Italy,5 Stelle Sfursat 2016,315,38.89,4.5,Valtellina,red,Nino Negri,2016,60f33d7f00b871aef201e846
South Africa,Frans Malan Cape Blend 2015,315,18.42,3.9,Stellenbosch,red,Simonsig,2015,60f33d7f00b871aef201e847
France,Château Margaux (Premier Grand Cru Classé) 2013,315,409.42,4.5,Margaux,red,Château Margaux,2013,60f33d7f00b871aef201e848
Spain,Clásico Reserva 2010,316,15.9,3.8,Rioja,red,La Antigua,2010,60f33d7f00b871aef201e849
Italy,Chianti Classico 2015,316,16.95,3.8,Chianti Classico,red,Casaloste,2015,60f33d7f00b871aef201e84a
South Africa,Pinotage 2018,316,23.23,3.9,Hemel-en-Aarde Valley,red,Southern Right,2018,60f33d7f00b871aef201e84b
Spain,Roble 2018,3164,8.95,3.8,Ribera del Duero,red,Protos,2018,60f33d7f00b871aef201e84c
United States,Pinot Noir 2015,3166,43.77,4.2,Dundee Hills,red,Domaine Drouhin,2015,60f33d7f00b871aef201e84d
Chile,Cabernet Sauvignon 2016,3169,11.5,3.4,Colchagua Valley,red,Los Vascos,2016,60f33d7f00b871aef201e84e
South Africa,Estate Vineyards Cabernet Sauvignon 2017,317,22.5,4.1,Stellenbosch,red,Rust En Vrede,2017,60f33d7f00b871aef201e84f
Italy,Nebbiolo d’alba 2016,317,26.09,3.8,Piemonte,red,Bruno Giacosa,2016,60f33d7f00b871aef201e850
Australia,The Y Series Cabernet Sauvignon 2017,317,11.5,3.4,South Australia,red,Yalumba,2017,60f33d7f00b871aef201e851
Italy,Petra Toscana (Suvereto) 2014,317,72.06,4.2,Toscana,red,Petra,2014,60f33d7f00b871aef201e852
Spain,Pétalos 2014,3177,17.95,3.8,Bierzo,red,Descendientes de J. Palacios,2014,60f33d7f00b871aef201e853
France,Cabernet Sauvignon 2018,318,7.27,3.5,"Pays d'Oc",red,La Forge Estate,2018,60f33d7f00b871aef201e854
Germany,Aufwind Spätburgunder 2016,318,10.8,4.1,Pfalz,red,Hensel,2016,60f33d7f00b871aef201e855
Italy,Leccioni Chianti 2018,318,7.27,3.5,Chianti,red,Frescobaldi,2018,60f33d7f00b871aef201e856
France,Saint-Émilion Grand Cru 2006,318,59.46,4.2,Saint-Émilion Grand Cru,red,Château Monbousquet,2006,60f33d7f00b871aef201e857
France,Médoc 2012,318,18.9,3.8,Médoc,red,Château Lousteauneuf,2012,60f33d7f00b871aef201e858
France,Malepère Rouge 2016,318,15.69,3.8,Malepère,red,Château de la Soujeole,2016,60f33d7f00b871aef201e859
South Africa,Lanoy Cabernet Sauvignon - Merlot 2017,318,10.99,3.4,Western Cape,red,Boschendal,2017,60f33d7f00b871aef201e85a
Chile,Special Cuvée Cabernet Sauvignon 2017,319,18.9,4.1,Colchagua Valley,red,Montes Alpha,2017,60f33d7f00b871aef201e85b
France,Grande Réserve Cadillac - Côtes de Bordeaux 2017,319,9.9,3.7,Cadillac - Côtes de Bordeaux,red,Château Sissan,2017,60f33d7f00b871aef201e85c
France,Pomerol 2005,319,189.95,4.6,Pomerol,red,Château Clinet,2005,60f33d7f00b871aef201e85d
Spain,Crianza Tinto 2016,3192,24.14,4.1,Ribera del Duero,red,Pago de Los Capellanes,2016,60f33d7f00b871aef201e85e
United States,Cabernet Sauvignon 2014,32,75.78,4.1,Napa Valley,red,Volker Eisele,2014,60f33d7f00b871aef201e85f
France,Bordeaux Supérieur 2018,32,10.75,3.7,Bordeaux Supérieur,red,Château du Lort,2018,60f33d7f00b871aef201e860
South Africa,Cabernet Sauvignon 2015,32,12.42,4.1,Breede River Valley,red,Bergsig Estate,2015,60f33d7f00b871aef201e861
South Africa,Essence du Cap Merlot 2017,32,9.9,3.7,Stellenbosch,red,Fleur du Cap,2017,60f33d7f00b871aef201e862
Portugal,Reserva Tinto 2017,32,10.95,4.1,Alentejo,red,Herdade Paço do Conde,2017,60f33d7f00b871aef201e863
France,Les Vaucrains Nuits Saint Georges 1er Cru 2013,32,107.45,4.4,Nuits-Saint-Georges,red,Domaine Robert Chevillon,2013,60f33d7f00b871aef201e864
Italy,"Don Dona' Molise Rosso 2013",32,16.9,3.8,Molise,red,Cantine Salvatore,2013,60f33d7f00b871aef201e865
Italy,Primitivo Puglia 2018,32,5.5,3.4,Puglia,red,Montecore,2018,60f33d7f00b871aef201e866
France,Bordeaux 2019,32,6.5,3.7,Bordeaux,red,Château Roc de Levraut,2019,60f33d7f00b871aef201e867
Spain,Garnacha de Arrayán 2015,32,21.9,3.8,Castilla y León,red,Arrayán,2015,60f33d7f00b871aef201e868
Italy,Valpolicella Superiore 2017,32,22,4,Valpolicella,red,"Torre d'Orti",2017,60f33d7f00b871aef201e869
South Africa,Pinotage 2015,32,8.5,3.7,Paarl,red,Windmeul Kelder Cellar,2015,60f33d7f00b871aef201e86a
Italy,"Lu Patri Nero d'Avola 2016",32,21.63,4.1,Sicilia,red,Baglio del Cristo di Campobello,2016,60f33d7f00b871aef201e86b
Spain,Montsant Auditori 2016,32,45,4.2,Montsant,red,Acustic Celler,2016,60f33d7f00b871aef201e86c
France,Domaine de Saint Pierre Cornas 2016,32,81.58,4,Cornas,red,Paul Jaboulet Aîné,2016,60f33d7f00b871aef201e86d
Germany,Vorderer Winklerberg Ihringen Spätburgunder GG 2015,32,50,4.1,Baden,red,Dr. Heger,2015,60f33d7f00b871aef201e86e
France,Lalande-de-Pomerol 2014,32,27.29,4,Lalande-de-Pomerol,red,La Sergue,2014,60f33d7f00b871aef201e86f
South Africa,Basson Pinotage 2014,32,22.99,3.7,Swartland,red,Cape of Good Hope,2014,60f33d7f00b871aef201e870
Chile,Cenit 2013,32,36.56,4.3,Colchagua Valley,red,Caliterra,2013,60f33d7f00b871aef201e871
France,Rouge 2017,32,38.89,4,Gard,red,"Roc d'Anglade",2017,60f33d7f00b871aef201e872
Italy,"Barbera d'Alba Ciabot du Re 2010",32,34.02,4.2,"Barbera d'Alba",red,Fratelli Revello,2010,60f33d7f00b871aef201e873
Italy,Granato 2017,32,45.84,3.8,Vigneti delle Dolomiti,red,Foradori,2017,60f33d7f00b871aef201e874
Austria,Bela Rex 2017,32,36.9,4,Mittelburgenland,red,Gesellmann,2017,60f33d7f00b871aef201e875
Spain,Tilenus Envejecido en Roble Bierzo Mencia 2010,32,12.79,3.4,Bierzo,red,Estefanía,2010,60f33d7f00b871aef201e876
Italy,Coppaia Chianti Colli Senesi 2014,32,6.15,3,Chianti Colli Senesi,red,Fattoria Casabianca,2014,60f33d7f00b871aef201e877
Spain,Tempranillo 2016,32,5.75,3.2,Rioja,red,Roca Morino,2016,60f33d7f00b871aef201e878
Spain,И 2017,32,17.06,4.1,Ribera del Duero,red,Baden Numen,2017,60f33d7f00b871aef201e879
Italy,Sannazzaro Rosso del Molise 2016,32,16.08,4,Molise,red,Campi Valerio,2016,60f33d7f00b871aef201e87a
Austria,In Signo Leonis 2015,32,35.09,4.2,Burgenland,red,Heribert Bayer,2015,60f33d7f00b871aef201e87b
Austria,Kellermeister Privat Blauer Zweigelt Trocken 2018,32,9.99,3.9,Kremstal,red,Winzer Krems,2018,60f33d7f00b871aef201e87c
Spain,"L'Ermita Velles Vinyes Priorat 2008",32,672.6,4.8,Priorat,red,Álvaro Palacios,2008,60f33d7f00b871aef201e87d
France,"L'Hospitalet de Gazin Pomerol 2017",32,36.56,3.9,Pomerol,red,Château Gazin,2017,60f33d7f00b871aef201e87e
Chile,Cabernet Sauvignon 2018,32,4.25,3.8,Central Valley,red,Sierra Noble,2018,60f33d7f00b871aef201e87f
France,Grande Réserve 2017,32,7.44,3.6,"Pays d'Oc",red,Devalbert,2017,60f33d7f00b871aef201e880
United States,Cabernet Sauvignon 2017,32,14.73,4.2,Monterey,red,Craftwork,2017,60f33d7f00b871aef201e881
Spain,Gran Reserva 1992,32,95.29,4,Ribera del Duero,red,Tinto Pesquera,1992,60f33d7f00b871aef201e882
Italy,"Rudhir Montepulciano d'Abruzzo 2015",32,17.95,4.1,"Montepulciano d'Abruzzo",red,Jasci & Marchesani,2015,60f33d7f00b871aef201e883
Italy,Pagliareto Vino Nobile di Montepulciano 2016,32,16.9,4,Vino Nobile di Montepulciano,red,Lunadoro,2016,60f33d7f00b871aef201e884
Hungary,Villányi Portugieser Nagytótfalu 2014,32,13.9,3.5,Villány,red,Hummel,2014,60f33d7f00b871aef201e885
Italy,Caselle Chianti Superiore 2016,32,12.25,3.7,Chianti,red,Montellori,2016,60f33d7f00b871aef201e886
Spain,Clos Alzina Vinyes Velles (Old Vines) 2015,32,37.99,4,Priorat,red,Costers del Priorat,2015,60f33d7f00b871aef201e887
Italy,Cabernet Franc 2016,32,26.5,4,Maremma Toscana,red,Poggio Argentiera,2016,60f33d7f00b871aef201e888
Spain,Naturel 2018,32,10.95,3.6,Valencia,red,Los Frailes,2018,60f33d7f00b871aef201e889
France,Sancerre Belle Dame 2016,32,49.9,4.2,Sancerre,red,Domaine Vacheron,2016,60f33d7f00b871aef201e88a
Spain,Castillo de Enguera Reserva 2015,32,8.95,3.7,Valencia,red,Finca Enguera,2015,60f33d7f00b871aef201e88b
